No.,IUPAC_Name,SMILES,Td/K,doi
entry288,"65,165-dimethyl-2,3,5,7,9,10,12,13,15,17,19,20-dodecaaza-1,11(3,6)-ditetrazina-6,16(1,3)-dibenzenacycloicosaphane-4,8,14,18-tetraone",O=C(N[N+]([O-])=O)OCC(COC(N[N+]([O-])=O)=O)(COC(N[N+]([O-])=O)=O)COC(N[N+]([O-])=O)=O,469.15,10.1021/acs.inorgchem.6b00602
entry289,"6,6-dinitro-1,4-dioxepane-2,3-dione",O=C(C1[N+]([O-])=O)OCC(COC1=O)([N+]([O-])=O)[N+]([O-])=O,442.15,10.1002/chem.201101896
entry290,6-(trinitromethyl)picolinonitrile,OCC1=C(N=[N+]=[N-])C=CC=C1,408.36,10.1007/s10973-009-0572-8
entry291,"6-(dinitromethyl)-1,3-dinitro-1,2,3,4-tetrahydro-1,3,5-triazine",NC1=NC(N=[N+]=[N-])=NN1C2=NN=C(NC3=NC(N=[N+]=[N-])=NN3)N=N2,462.85,10.1039/c7dt00935f
entry292,"6-(5-amino-4H-1,2,4-triazol-3-yl)-7H-[1,2,4]triazolo[4,3-b][1,2,4]triazole-3,7-diamine",NC1=NN=C(N1N)C2=NNN=C2C3=NN=C(N3N)N,563.15,10.1021/acs.inorgchem.0c03014
entry293,"6-(5-amino-3-azido-1H-1,2,4-triazol-1-yl)-N-(3-azido-1H-1,2,4-triazol-5-yl)-1,2,4,5-tetrazin-3-amine",NC1=NC(NC2=NN3C=NN=C3N=N2)=C([N+]([O-])=O)N=C1[N+]([O-])=O,528.15,10.11943/CJEM2020321
entry294,"6-(4-amino-1,2,5-oxadiazol-3-yl)-7H-[1,2,4]triazolo[4,3-b][1,2,4]triazole-3,7-diamine",NC1=NN=C(N2N)N1N=C2C3=NN=C(N)N3,554.15,10.1039/d1dt02854e
entry295,"6-(1H-tetrazol-5-yl)tetrazolo[1,5-b][1,2,4]triazin-7-amine",O=C1N=NC(NC2=NN=NN2)=NN1,485.06,10.11943/CJEM2019067
entry296,"6-((1H-tetrazol-5-yl)amino)-1,2,4,5-tetrazin-3(2H)-one",O=[N+](C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC2=NN=NN2)[O-],456.15,10.1039/c3ta14485b
entry297,"5-nitro-3H-1,2,4-triazol-3-one",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC=C1)[O-],377.25,10.1039/c8dt04712j
entry298,"5-nitro-3-(trinitromethyl)-1H-1,2,4-triazole",O=[N+](C1=NNN=N1)[O-],403.15,10.1039/b812529e
entry299,5-nitro-2H-tetrazole,O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NNC=N2)[O-],445.15,10.1021/acsaem.0c00724
entry300,5-nitro-2H-tetrazol-2-ol,O=[N+](C1=NN(CC#N)N=N1)[O-],483.15,10.1039/b818925k
entry301,5-nitro-2H-tetrazol-2-amine,NC1=NN/C(O1)=N/[N+]([O-])=O,426.15,10.1016/j.cej.2021.130912
entry302,"5-nitro-2H-1,2,3-triazole-2,4-diamine",CN([N+]([O-])=O)CN1C([N+]([O-])=O)=NN(CN(C)[N+]([O-])=O)C1=O,484.15,10.1039/c6nj00202a
entry303,"5'-nitro-2'-(trinitromethyl)-1H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](N1N=C(C2=NC([N+]([O-])=O)=NN2)N=C1)[O-],446.15,10.1021/acsaem.0c00724
entry304,"5-nitro-1H-1,2,4-triazole-3-carbonitrile",O/N=C(N=[N+]=[N-])/C1=NNC([N+]([O-])=O)=N1,397.15, 10.1002/chem.201301339
entry305,"5'-nitro-1H,2'H-[3,3'-bi(1,2,4-triazol)]-5-amine",NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,428.15,10.1021/acs.cgd.8b01404
entry306,"5'-nitro-1,2'-bis(trinitromethyl)-1H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](/N=C1NN=NN\1)[O-],395.15,10.1002/zaac.200800430
entry307,"5-nitro-[1,2,5]oxadiazolo[3,4-e]tetrazolo[1,5-a]pyridine 3-oxide",O=[N+](/N=C1NN=C2NC=NN2\1)[O-],442.15,10.1039/c7ta01111c
entry308,"5-methyl-1-(4-methyl-1H-1,2,3-triazol-1-yl)-1H-tetrazole",O[C@]1(C)C[C@@](C)(OO)OO1,406.15,10.1002/ejic.201600767
entry309,"5-imino-4-methyl-4,5-dihydro-1H-tetrazol-1-amine",NN1N=NC([N+]([O-])=O)=C1,448.15,10.1002/open.202000053
entry310,"5-azido-5'-nitro-1H,2'H-3,3'-bi(1,2,4-triazole)",NC1=NNN=C1C2=NN=NN2,514.15,10.1039/c5dt03044g
entry311,"5-azido-3-nitro-1H-1,2,4-triazole",O=[N+](C1=NN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N=[N+]=[N-])=C1[N+]([O-])=O)[O-],390.15,10.1039/c3ta15057g
entry312,"5-azido-3-methyl-1H-1,2,4-triazole",CN1C=C[N+]([C-]([N+]([O-])=O)[N+]([O-])=O)=N1,423.15,10.1039/d1ra00953b
entry313,"5-azido-3-benzyl-1H-1,2,4-triazole",O=[N+](NC1=NC(N=[N+]=[N-])=NN1)[O-],416.15,10.1002/chem.201102901
entry314,"5-azido-3,4-dinitro-N-(2,2,2-trinitroethyl)-1H-pyrazol-1-amine",NN1C(N=[N+]=[N-])=C([N+]([O-])=O)C([N+]([O-])=O)=N1,394.15,10.1039/c3ta15057g
entry315,"5-azido-3,4-dinitro-1H-pyrazol-1-amine",O=[N+](C1=NN(C)C(N=[N+]=[N-])=N1)[O-],434.15, 10.1002/zaac.201300203
entry316,"5-azido-1-methyl-3-nitro-1H-1,2,4-triazole",N#CC1=NNC(N=[N+]=[N-])=N1,443.15,10.1002/zaac.201300022
entry317,"5-azido-1H-1,2,4-triazole-3-carbonitrile",[NH2+]=C1N(C)N=NN1[N-][N+]([O-])=O,423.15,10.1002/chem.201102142
entry318,"5-azido-1H-1,2,4-triazole",ON1N=NN=C1C2=NN=NN2O.[H]O[H].[H]O[H]   ,487.15,10.1002/ejic.201201192
entry319,"5-amino-3-nitro-[1,2,3]triazolo[1,5-b][1,2,4]triazine-6-carbonitrile",NC1=NC(N2C(N)=N1)=C(C(N)=N2)[N+]([O-])=O,679.15,10.1039/c9dt03138c
entry320,"5-amino-3,6-dinitropyrazolo[1,5-a]pyrimidin-7(4H)-one",NC1=C([N+]([O-])=O)N=C([N+]([O-])=O)N1,378.35,10.1039/c6cc03833f
entry321,5-amino-1H-tetrazol-1-ol,O=C(CN=[N+]=[N-])OCC(OC(CN=[N+]=[N-])=O)CCCCOC(CN=[N+]=[N-])=O,502.27,10.1002/prep.202100105
entry322,"5-amino-1H-1,2,4-triazole-3-carbohydrazide",NC1=NC([N+]([O-])=O)=NN1C2=NC([N+]([O-])=O)=NN2,525.15,10.1039/c5ta09803c
entry323,"5,7-dinitrobenzo[e][1,2,3,4]tetrazine 1,3-dioxide",NN1C(N)=NN=C1C2=NNN=C2[N+]([O-])=O,536.15,10.1016/j.enmf.2021.05.002
entry324,"5,7-dinitro-1H-benzo[d][1,2,3]triazole-4,6-diamine",O=C1N=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N1,440.75,10.1039/c6ra05826d
entry325,"5,7-dinitro-1H-benzo[d][1,2,3]triazole",CC1=CC(C)=NC2=NC([N+]([O-])=O)=NN12,542.15,10.1016/j.jfluchem.2021.109743
entry326,"5,7-dinitro-1H-benzo[d][1,2,3]triazole",O=[N+](C1=C(/C=N/NC2=NN=C(N/N=C/C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)N=N2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],503.15,10.1039/d0nj03476b
entry327,"5,7-dinitro-1H-benzo[d][1,2,3]triazol-4-amine",NC1=NON=C1C2=NO[N+]([O-])=C2C3=NON=C3NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,442.55,10.1002/slct.201601656
entry328,"5,7-dimethyl-2-nitro-[1,2,4]triazolo[1,5-a]pyrimidine",[O-]N1C2=C(N)C([N+]([O-])=O)=C(N)C([N+]([O-])=O)=C2[NH+]=N1,530.15,10.1002/chem.201502812
entry329,"5,7-diamino-4,6-dinitro-1H-benzo[d][1,2,3]triazol-3-ium-1-olate",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NC2=NON=C2N=C1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],463.15,10.1002/chem.201303469
entry330,"5,7-diamino-4,6-dinitro-1H-benzo[d][1,2,3]triazol-3-ium-1-olate",[O-][N+]1=NC(N2C(C([N+]([O-])=O)=CN2)=N1)=O,498.15,10.1016/j.cej.2021.129190 
entry331,"5,7-diamino-2H-[1,2,3]triazolo[4,5-d]pyrimidine 6-oxide",NC1=[N+]([O-])C(N)=NC2=C1N=CN2,582.15, 10.1039/d0dt03260c
entry332,"5,7-diamino-[1,2,5]oxadiazolo[3,4-d]pyrimidine 6-oxide",NC1=[N+]([O-])C(N)=NC2=NNN=C12,576.15, 10.1039/d0dt03260c
entry333,"5,5'-dinitro-2H,2'H-3,3'-bipyrazole",NN1C(C2=NC([N+]([O-])=O)=NN2N)=NC([N+]([O-])=O)=N1,544.15,10.1002/anie.201507456
entry334,"5,5'-dinitro-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN=C2C3=NN=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N3C4=NON=C4N21)[O-],401.15,10.1002/ajoc.201600386
entry335,"5,5'-dinitro-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](/N=C(N1)\NN=C1C(N/2)=NNC2=N/[N+]([O-])=O)[O-],467.15, 10.1002/chem.201202483
entry336,"5,5'-dinitro-2H,2'H-[3,3'-bi(1,2,4-triazole)]-2,2'-diol",[H]C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([H])([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1,353.15,10.1002/zaac.201100196
entry337,"5,5'-dinitro-2H,2'H-[3,3'-bi(1,2,4-triazole)]-2,2'-diamine",O=[N+](/N=C1NC(/N=N/C(N/2)=NNC2=N/[N+]([O-])=O)=NN/1)[O-],482.15, 10.1002/zaac.201100102
entry338,"5,5'-diazido-4,4'-dinitro-1H,1'H-2,2'-biimidazole",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(C2=NOC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1)[O-],397.15,10.1039/c3cc49879d
entry339,"5,5'-diazido-1H,1'H-3,3'-bi(1,2,4-triazole)",O=[N+](OCC1=NC(C2=NOC(CO[N+]([O-])=O)=N2)=NO1)[O-],457.97,10.1002/prep.202000132
entry340,"5,5'-bis(trinitromethyl)-3,3'-bi(1,2,4-oxadiazole)",O=[N+](CC1=NN=C(O1)C2=NN=C(C[N+]([O-])=O)O2)[O-],453.85,10.1016/j.cej.2021.132503
entry341,"5,5'-bis(trinitromethyl)-3,3'-bi(1,2,4-oxadiazole)",O=[N+](C1=CNN=C1C2=NC(C3=NOC(C4=NNC=C4[N+]([O-])=O)=N3)=NO2)[O-],590.15,10.1002/cplu.201900454
entry342,"5,5'-bis(trinitromethyl)-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(C2=NOC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1)[O-],397.15,10.1002/chem.201402291
entry343,"5,5'-bis(nitromethyl)-2,2'-bi(1,3,4-oxadiazole)",O=[N+](C1=CNN=C1C2=NN=C(C3=NN=C(C4=NNC=C4[N+]([O-])=O)O3)O2)[O-],641.15,10.1039/d0nj00518e
entry344,"5,5'-bis(dinitromethylene)-4,4',5,5'-tetrahydro-1H,1'H-3,3'-bi(1,2,4-triazole)",O=[N+](C1=NNC(C2=NC([N+]([O-])=O)=NN2)=N1)[O-],524.15, 10.1002/chem.201202483
entry345,"5,5'-bis(4-nitro-1H-pyrazol-3-yl)-3,3'-bi(1,2,4-oxadiazole)",O=[N+](C1=C(C2=NC(C3=NOC(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)=N3)=NO2)NN=C1[N+]([O-])=O)[O-],545.15,10.1002/cplu.201900454
entry346,"5,5'-bis(4-nitro-1H-pyrazol-3-yl)-2,2'-bi(1,3,4-oxadiazole)",O=[N+](C1=NON=C1C2=NNC(C3=NC(C4=NON=C4[N+]([O-])=O)=NN3)=N2)[O-],571.15,10.1039/d0dt00498g
entry347,"5,5'-bis(4-nitro-1,2,5-oxadiazol-3-yl)-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](NC1=NON=C1C2=NNC(C3=NC(C4=NON=C4N[N+]([O-])=O)=NN3)=N2)[O-],385.15,10.1039/d0dt00498g
entry348,"5,5'-bis(4-azido-1,2,5-oxadiazol-3-yl)-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NN=C(C3=NN=C(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)O3)O2)[O-],538.15,10.1039/d0nj00518e
entry349,"5,5'-bis(4-azido-1,2,5-oxadiazol-3-yl)-2,2'-bi(1,3,4-oxadiazole)",C1(N2N=NN=C2)=NNN=N1,418.15,10.1002/chem.201300691
entry350,"5,5'-bis(3,5-dinitro-1H-pyrazol-4-yl)-2,2'-bi(1,3,4-oxadiazole)",NC(N1N)=NN=C1C2=NNC(C3=NN=C(N)N3N)=C2[N+]([O-])=O,591.75,10.1016/j.fpc.2021.03.001
entry351,"5,5'-bis(3,5-dinitro-1H-pyrazol-4-yl)-1H,1'H-3,3'-bi(1,2,4-triazole)",O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NNC(C3=NC(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)=NN3)=N2)[O-],549.15,10.1039/d0ta09158h
entry352,"5,5'-bis(3,4-dinitro-1H-pyrazol-5-yl)-3,3'-bi(1,2,4-oxadiazole)",O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NC(C3=NOC(C4=NN([N+]([O-])=O)C=C4[N+]([O-])=O)=N3)=NO2)[O-],445.15,10.1002/cplu.201900454
entry353,"5,5'-bis(3,4-dinitro-1H-pyrazol-5-yl)-2H,2'H-3,3'-bi(1,2,4-triazole)",O=[N+](C1=NNC(/N=N/C2=NC([N+]([O-])=O)=NN2)=N1)[O-],562.15, 10.1002/zaac.202000343
entry354,"5,5'-bis(3,4-dinitro-1H-pyrazol-5-yl)-2,2'-bi(1,3,4-oxadiazole)",CN1N=NC(N(C)C2=NN(C)N=N2)=N1,509.15,10.1039/b811273h
entry355,"5,5'-bis(1,4-dinitro-1H-pyrazol-3-yl)-3,3'-bi(1,2,4-oxadiazole)",O=[N+](C(C1=NN=NN1)C2=NN=NN2)[O-],511.15,10.1039/c8nj03472a
entry356,"5,5'-bis(1,4-dinitro-1H-pyrazol-3-yl)-2,2'-bi(1,3,4-oxadiazole)",CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1C2=NC([N+]([O-])=O)=NN2CN(C)[N+]([O-])=O,501.15,10.1039/c6nj00202a
entry357,"5,5',5'',5'''-(pentane-1,3,3,5-tetrayl)tetrakis(1H-tetrazole)",NN1C(C2=NN(N)N=N2)=NN=N1,448.15,10.1039/c2dt30684k
entry358,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2-vinyl-2H-tetrazole)",CC(C)(C)N1N=C(N(/N=N/C2=NN(C(C)(C)C)N=N2)/N=N/C3=NN(C(C)(C)C)N=N3)N=N1,408.15,10.1039/c6cc08179g
entry359,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2-methyl-2H-tetrazole)",O=C(OC)CN1N=C(N(/N=N/C2=NN(CC(OC)=O)N=N2)/N=N/C3=NN(CC(OC)=O)N=N3)N=N1,394.15,10.1039/c6cc08179g
entry360,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2-benzyl-2H-tetrazole)",C=CCN1N=C(N(/N=N/C2=NN(CC=C)N=N2)/N=N/C3=NN(CC=C)N=N3)N=N1,373.15,10.1039/c6cc08179g
entry361,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2-allyl-2H-tetrazole)",CN1N=NN=C1N(/N=N/C2=NN=NN2C)/N=N/C3=NN=NN3C,414.15,10.1039/c6cc08179g
entry362,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(2-(tert-butyl)-2H-tetrazole)",CN1N=NC(/N=N/N(/N=N/C2=NN(C)N=N2)C3=NN(C)N=N3)=N1,414.15,10.1039/c6cc08179g
entry363,"5,5',5''-((1E,4E)-pentaaza-1,4-diene-1,3,5-triyl)tris(1-methyl-1H-tetrazole)",O=[N+](C1([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C1)[O-],461.15,10.1002/prep.830080304
entry364,"5,5'-(nitromethylene)bis(1H-tetrazole)",N/N=C(C1=NN=NN1)/C2=NN=NN2,520.75,10.1039/c3ta13425c
entry365,"5,5'-(hydrazineylidenemethylene)bis(1H-tetrazole)",O=[N+](C1=C(C2=NC([N+]([O-])=O)=NN2)NN=C1C3=NC([N+]([O-])=O)=NN3)[O-],511.35,10.1039/c9nj01445d
entry366,"5,5'-(hydrazine-1,2-diyl)bis(1H-tetrazol-1-ol)",NC(N1N)=NN=C1C2=CC(C3=NN=C(N)N3N)=NN2,626.15,10.1039/d0ce00278j 
entry367,"5,5'-(4-nitro-1H-pyrazole-3,5-diyl)bis(4H-1,2,4-triazole-3,4-diamine)",O=[N+](C([N+]([O-])=O)C1=NC(/N=N/C2=NOC(C([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1)[O-],396.15,10.1002/chem.201704446
entry368,"5,5'-(4-nitro-1H-pyrazole-3,5-diyl)bis(3-nitro-1H-1,2,4-triazole)",NC1=NNC(C2=C([N+]([O-])=O)C(C3=NC(N)=NN3)=NN2)=N1,626.75,10.1039/c9nj01445d
entry369,"5,5'-(4-nitro-1H-pyrazole-3,5-diyl)bis(1H-1,2,4-triazol-3-amine)",O=[N+](CN1N=C(C(C2=NN=NN2)=N1)C3=NN=NN3)[O-],554.15,10.1039/c8nj03472a
entry370,"5,5'-(2H-1,2,3-triazole-4,5-diyl)bis(4H-1,2,4-triazole-3,4-diamine)",O=C1NC2=C([N+]([O-])=O)C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=C2N1,528.15, 10.1002/prep.201400045
entry371,"5,5'-(2H-1,2,3-triazole-4,5-diyl)bis(4H-1,2,4-triazole-3,4-diamine)",NC1=NN=C(N1N)C2=NNC(N)=N2,614.15,10.1021/acs.inorgchem.0c03014
entry372,"5,5'-(2-(nitromethyl)-2H-1,2,3-triazole-4,5-diyl)bis(1H-tetrazole)",O=[N+](C1=NNC(C2=NC([N+]([O-])=O)=NN2)=N1)[O-],524.15,10.1002/ejic.201200221
entry373,"5,5'-(1H-pyrazole-3,5-diyl)bis(4H-1,2,4-triazole-3,4-diamine)",O/N=C(N)/C1=NO[N+]([O-])=C1/C(N)=N/O,453.15,10.1039/c4nj01351d
entry374,"5,5'-(1H-pyrazole-3,5-diyl)bis(4H-1,2,4-triazol-3-amine)",NC1=NN=C(N=[N+]=[N-])N=N1,473.15,10.1002/asia.201500086
entry375,"5,10-bis(trinitromethyl)-[1,2,5]oxadiazolo[3,4-e]bis([1,2,4]triazolo)[4,3-a:3',4'-c]pyrazine",[N-]=[N+]=NC1=NON=C1C2=NN=C(C3=NN=C(C4=NON=C4N=[N+]=[N-])O3)O2,464.15,10.1002/anie.202014207
entry376,"5-(nitroamino)-N-(3-(nitroamino)-4H-1,2,4-triazol-4-yl)-4H-1,2,4-triazole-3-carboxamide",O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],394.15,10.1039/c7nj01917c
entry377,"5-(dinitromethylene)-4,5-dihydro-1H-tetrazole",N#[N+]C([N-]N=N1)=C1C2=NNN=N2,414.15,10.1021/acs.joc.6b01098
entry378,"5-(dinitromethyl)-3-(trinitromethyl)-1H-1,2,4-triazole",O=[N+](C1=NN(CC2=NN=NN2)N=N1)[O-],487.15,10.1039/b818925k
entry379,"5-(5-nitro-2H-1,2,3-triazol-4-yl)-4H-1,2,4-triazole-3,4-diamine",NC1=CC([N+]([O-])=O)=NC2=C1[N-][N+]3=NC4=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C4N23,605.33,10.1021/acs.cgd.0c00026
entry380,"5-(5-nitro-2H-1,2,3-triazol-4-yl)-1H-tetrazole",ON1C(C2=NNC(N[N+]([O-])=O)=N2)=NN=N1,389.15, 10.1002/chem.201301339
entry381,"5-(5-nitro-1H-1,2,4-triazol-3-yl)-1H-tetrazol-1-ol",O=[N+](C1=NNC(C2=NNN=N2)=N1)[O-],484.15,10.1002/asia.201300063
entry382,"5-(5-azido-2H-1,2,3-triazol-4-yl)-1H-tetrazole",[N-]=[N+]=NC1=NC(C2=NN=NN2)=NN1,437.15,10.1002/asia.201300063
entry383,"5-(5-azido-1H-1,2,4-triazol-3-yl)-1H-tetrazole",ON1C(C2=NNC(N=[N+]=[N-])=N2)=NN=N1,417.15, 10.1002/chem.201301339
entry384,"5-(5-azido-1H-1,2,4-triazol-3-yl)-1H-tetrazol-1-ol",[N-]=[N+]=NC1=NC(C2=NC([N+]([O-])=O)=NN2)=NN1,454.15,10.1039/c3dt51205c
entry385,"5-(5-(nitromethyl)-1,3,4-oxadiazol-2-yl)-1H-1,2,4-triazol-3-amine",O=[N+](C1=C(C2=NN=C(C[N+]([O-])=O)O2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],516.35,10.1016/j.cej.2021.132503
entry386,"5-(4-nitro-1H-pyrazol-3-yl)-4H-1,2,4-triazole-3,4-diamine",O=[N+](C1=NNN=C1N[N+]([O-])=O)[O-],403.15,10.1039/c2ta00136e
entry387,"5-(4-nitro-1,2,5-oxadiazol-3-yl)-1,3,4-oxadiazol-2-amine",ON1N=NN=C1C2=NON=C2N=[N+]=[N-],427.15,10.1039/c9nj03306h
entry388,"5-(4-azido-1,2,5-oxadiazol-3-yl)-1H-tetrazol-1-ol",ON1C(C2=NON=C2N=[N+]=[N-])=NN=N1,460.15,10.1007/s10593-017-2121-x
entry389,"5-(4-azido-1,2,5-oxadiazol-3-yl)-1H-tetrazol-1-ol",NC1=NON=C1C2=NN=NN2O,470.15,10.1021/jacs.5b07852
entry390,"5-(4-amino-1,2,5-oxadiazol-3-yl)-4H-1,2,4-triazole-3,4-diamine",NC(N1)=NOC1=O,480.15,10.1039/c7nj03950f
entry391,"5-(4-amino-1,2,5-oxadiazol-3-yl)-1H-tetrazol-1-ol",O=C(N1N)NN=C1C2=NN=NN2,541.15,10.1002/jhet.1877
entry392,"5-(4-amino-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-3-amine",NC1=NOC(C2=NON=C2/N=N/C3=NON=C3C4=NC(N)=NO4)=N1,486.15, 10.1021/acs.orglett.8b03639
entry393,"5-(4,5-dinitro-1H-pyrazol-1-yl)-3-nitro-1H-1,2,4-triazole",ON1C(C2=NNC([N+]([O-])=O)=N2)=NN=N1,425.15, 10.1002/chem.201301339
entry394,"5-(3-nitro-1H-1,2,4-triazol-5-yl)-2H-tetrazole",ON1N=C(C2=NN=NN2)N=N1,448.15,10.1002/cplu.201402124
entry395,"5-(2-amino-2-iminio-1,1-dinitroethyl)tetrazol-1-ide",[H]N1N=NN=C1C2=NON=C2/N=N/C3=NON=C3C4=NN=NN4,528.15,10.1039/c8ce01825a
entry396,"5-(1H-tetrazol-5-yl)-2H-1,2,3-triazol-4-amine",NC1=NC(C2=NN=NN2)=NN1,620.15,10.1002/asia.201300063
entry397,"5-(1,2,4-oxadiazol-3-yl)-1H-tetrazol-1-ol",O=[N+](C1=C(N=[N+]=[N-])C([N+]([O-])=O)=NN1CC2=NN=NN2)[O-],421.15,10.1002/chem.201700786
entry398,5-((5-nitro-2H-tetrazol-2-yl)methyl)-1H-tetrazole,O=[N+](C1=NN(CC2=NN=NN2)N=N1)[O-],487.15,10.1039/b818925k
entry399,5-((5-nitro-2H-tetrazol-2-yl)methyl)-1H-tetrazole,O=[N+](C1=NNN=C1C2=NN=NN2)[O-],461.15,10.1039/c5dt03044g
entry400,"5-((4-azido-3,5-dinitro-1H-pyrazol-1-yl)methyl)-1H-tetrazole",O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NN=NN2)[O-],428.15,10.1002/chem.201700786
entry401,"5-((3,4,5-trinitro-1H-pyrazol-1-yl)methyl)-1H-tetrazole",IC1=C(I)N(CC2=NN=NN2)N=C1I,491.75,10.1016/j.cej.2018.06.056
entry402,"5-((3,4,5-triiodo-1H-pyrazol-1-yl)methyl)-1H-tetrazole",O=[N+](C1=NN=C2N=NC(NC3=NON=C3[N+]([O-])=O)=NN21)[O-],457.35,10.1002/asia.201801145
entry403,"4-oxo-4,6-dihydro-3H-pyrazolo[3,4-d][1,2,3]triazine 2-oxide",O=C1C(NC2=NON=C2N1)=O,511.15, 10.1039/c8ob02155d
entry404,"4-nitro-N-(3-nitro-[1,2,4]triazolo[4,3-b][1,2,4,5]tetrazin-6-yl)-1,2,5-oxadiazol-3-amine",O=[N+](C1=CN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1)[O-],385.15,10.1039/c3ta15057g
entry405,"4-nitro-N-(2,2,2-trinitroethyl)-1H-pyrazol-1-amine",[N-]=[N+]=NC1=CC=C([N+]([O-])=O)C=C1,437.15, 10.1039/c8ta06895j
entry406,"4-nitro-5-(3-nitro-1H-1,2,4-triazol-5-yl)-2H-1,2,3-triazole",O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC([N+]([O-])=O)=N1)[O-],408.15,10.1021/ja2013455
entry407,4-nitro-3-(trinitromethyl)-1H-pyrazole,O=[N+](NC1=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1[N+]([O-])=O)[O-],397.15,10.1039/c9nj02732g
entry408,"4-nitro-3-(5-(nitroamino)-1,3,4-oxadiazol-2-yl)-1,2,5-oxadiazole 2-oxide",[O-][N+]1=C(C)C(/C=N/NC2=NN=NN2)=NO1,464.15,10.1039/d0nj00541j
entry409,"4-nitro-3-(3-nitrophenyl)-1,2,5-oxadiazole 2-oxide",NN1C=C([N+]([O-])=O)C=N1,468.15,10.1039/c3ta15057g
entry410,"4-nitro-2H-1,2,3-triazol-2-amine",NN1N=C([N+]([O-])=O)C(N=[N+]=[N-])=N1,414.15,10.1039/c2ta00136e
entry411,4-nitro-1H-pyrazol-1-amine,O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1C=C([N+]([O-])=O)C=N1)[O-],405.15,10.1002/asia.201500533
entry412,"4-nitro-1H-1,2,3-triazole-1,5-diamine",[O-][N+]1=C(C2=NON=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(C3=NON=C3NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,441.15,10.1002/jhet.2920
entry413,"4-nitro-1H-1,2,3-triazol-1-amine",NN/C(N)=N/[N+]([O-])=O,457.15,10.5560/ZNB.2012-0066
